t,Yt,Y(t-1),Xt
1,30.2,,55.789948
2,28.2,30.2,54.93164
3,26.6,28.2,54.64554
4,25,26.6,55.07469
5,26,25,55.789948
6,26,26,56.505203
7,26,26,55.789948
8,24,26,52.928925
9,23,24,50.0679
10,24,23,51.498413
11,25,24,53.64418
12,26,25,55.789948
13,27,26,59.366226
14,29,27,62.22725
15,29,29,62.942505
16,29,29,62.942505
17,29,29,62.22725
18,28,29,60.796738
19,27,28,59.366226
20,27,27,58.65097
21,27,27,58.65097
22,27,27,57.935715
23,27,27,57.935715
24,27,27,58.65097
25,27,27,59.366226
26,28,27,61.511993
27,29,28,63.65776
28,31,29,66.51878
29,31,31,67.949295
30,32,31,68.66455
31,32,32,68.66455
32,31,32,67.23404
33,31,31,66.51878
34,30,31,65.80353
35,30,30,64.37302
36,29,30,62.22725
37,27,29,59.366226
38,26,27,56.505203
39,25,26,55.07469
40,25,25,53.64418
41,24,25,52.928925
42,24,24,52.928925
43,25,24,53.64418
44,25,25,53.64418
45,25,25,54.359436
46,26,25,55.789948
47,26,26,57.22046
48,27,26,57.935715
49,27,27,58.65097
50,27,27,58.65097
51,27,27,59.366226
52,28,27,60.081482
53,28,28,60.081482
54,27,28,59.366226
55,27,27,58.65097
56,26,27,57.22046
57,25,26,54.359436
58,23,25,50.783157
59,22,23,47.922134
60,21,22,45.41874
61,20,21,43.988228
62,19,20,41.84246
63,19,19,41.484833
64,20,19,43.272972
65,21,20,45.41874
66,21,21,45.41874
67,21,21,45.41874
68,22,21,47.20688
69,24,22,52.21367
70,26,24,56.505203
71,27,26,59.366226
72,28,27,60.796738
